Campaign Name,Amount Spent (ZAR),Link Clicks,Impressions
Summer Sale 2025 - Awareness,4523.67,187,45230
Summer Sale 2025 - Conversions,8912.45,412,67890
Winter Clearance - Cape Town,3245.89,156,32450
Black Friday - Electronics,12456.78,523,124560
Black Friday - Fashion,9876.54,398,98760
Cyber Monday - Tech Deals,7654.32,287,76540
Valentine's Day - Gifts,4567.89,178,45670
Mother's Day - Spa & Beauty,6789.01,256,67890
Retargeting - Cart Abandoners,1567.89,234,15670
Lookalike - High Value Customers,6789.12,189,67890
Brand Awareness - Q4 Push,15678.90,234,156780
Video Views - Product Demo,2345.67,0,234560
Video Views - Brand Story,3456.78,0,345670
Engagement - Social Proof,1234.56,0,123450
Premium Campaign - Luxury Items,5678.90,89,56780
Exclusive Launch - Limited Edition,4890.45,78,48900
